Connected On,Company Employee Range,Location,Person_ID,Company_Anon,Industry_Anon,Function
16 Jan 2025,201 to 500,"Houston, Texas, United States",Person_001,Company_255,Focus_Industry_1,Procurement/Supply Chain
13 Jan 2025,5001 to 10000,Dallas-Fort Worth Metroplex,Person_002,Company_141,Industry_15,Management
12 Jan 2025,,"Swakopmund, Erongo Region, Namibia",Person_003,Company_163,Focus_Industry_2,Engineering/Technical/Science
10 Jan 2025,,"Houston, Texas, United States",Person_004,Freelance,Industry_14,Freelance
10 Jan 2025,1001 to 5000,"Almaty, Kazakhstan",Person_005,Company_001,Industry_03,Management
09 Jan 2025,,"Stoughton, England, United Kingdom",Person_006,Company_074,Focus_Industry_3,Sales/Business Development
07 Jan 2025,10001+,"Houston, Texas, United States",Person_007,Company_202,Focus_Industry_1,Procurement/Supply Chain
07 Jan 2025,,"City of Johannesburg, Gauteng, South Africa",Person_008,Company_269,Focus_Industry_2,Sales/Business Development
04 Jan 2025,,Mozambique,Person_009,Company_244,Industry_14,Management
27 Dec 2024,,Tanzania,Person_010,Company_286,Focus_Industry_2,Consultant/Advisor/Coach
23 Dec 2024,10001+,"Houston, Texas, United States",Person_011,Company_271,Focus_Industry_1,Procurement/Supply Chain
19 Dec 2024,5001 to 10000,Denver Metropolitan Area,Person_012,Company_128,Industry_05,Management
18 Dec 2024,10001+,"Nashville, Tennessee, United States",Person_013,Company_331,Industry_08,Sales/Business Development
16 Dec 2024,,Sweden,Person_014,Company_340,Industry_03,Management
14 Dec 2024,10001+,"Amsterdam, North Holland, Netherlands",Person_015,Company_230,Industry_05,Management
13 Dec 2024,10001+,Peoria Metropolitan Area,Person_016,Company_073,Focus_Industry_4,Procurement/Supply Chain
12 Dec 2024,1001 to 5000,Côte d'Ivoire,Person_017,Company_085,Industry_04,Management
12 Dec 2024,5001 to 10000,"West Valley City, Utah, United States",Person_018,Company_052,Focus_Industry_2,Other
12 Dec 2024,1001 to 5000,"Farnborough, England, United Kingdom",Person_019,Company_118,Focus_Industry_3,Marketing
12 Dec 2024,11 to 50,Greater Exeter Area,Person_020,Company_361,Industry_01,Management
12 Dec 2024,201 to 500,"Changsha, Hunan, China",Person_021,Company_227,Industry_16,Sales/Business Development
12 Dec 2024,501 to 1000,"Kolwezi, Lualaba, Democratic Republic of the Congo",Person_022,Company_194,Focus_Industry_2,Marketing
11 Dec 2024,1001 to 5000,"Kaysville, Utah, United States",Person_023,Company_077,Industry_15,Procurement/Supply Chain
10 Dec 2024,10001+,Denver Metropolitan Area,Person_024,Company_225,Focus_Industry_1,Other
10 Dec 2024,10001+,"Buffalo Grove, Illinois, United States",Person_025,Company_043,Focus_Industry_1,Procurement/Supply Chain
09 Dec 2024,1001 to 5000,Finland,Person_026,Company_091,Focus_Industry_4,Sales/Business Development
07 Dec 2024,5001 to 10000,Atlanta Metropolitan Area,Person_027,Company_141,Industry_15,Procurement/Supply Chain
06 Dec 2024,11 to 50,"Shreveport, Louisiana, United States",Person_028,Company_027,Focus_Industry_3,Sales/Business Development
06 Dec 2024,501 to 1000,"Rosario, Santa Fe, Argentina",Person_029,Company_393,Focus_Industry_3,Management
05 Dec 2024,5001 to 10000,"Budapest, Budapest, Hungary",Person_030,Company_375,Industry_06,Consultant/Advisor/Coach
03 Dec 2024,10001+,"Burlington, Kentucky, United States",Person_031,Company_161,Industry_15,Procurement/Supply Chain
03 Dec 2024,1001 to 5000,Des Moines Metropolitan Area,Person_032,Company_387,Focus_Industry_4,Other
02 Dec 2024,10001+,Democratic Republic of the Congo,Person_033,Company_046,Focus_Industry_2,Operations/Production
02 Dec 2024,,"Espoo, Uusimaa, Finland",Person_034,Company_049,Focus_Industry_3,Management
02 Dec 2024,11 to 50,"Bradford, England, United Kingdom",Person_035,Company_296,Focus_Industry_3,Other
02 Dec 2024,10001+,"Karaganda, Karaganda Region, Kazakhstan",Person_036,Company_010,Industry_04,Other
02 Dec 2024,1001 to 5000,Ghana,Person_037,Company_011,Focus_Industry_2,Management
30 Nov 2024,,"Marlow, Oklahoma, United States",Person_038,Company_155,Focus_Industry_1,Procurement/Supply Chain
28 Nov 2024,10001+,Kazakhstan,Person_039,Company_089,Industry_12,Management
28 Nov 2024,,"Öskemen q.ä., East Kazakhstan Region, Kazakhstan",Person_040,Company_117,Industry_15,Sales/Business Development
27 Nov 2024,5001 to 10000,"Western Cape, South Africa",Person_041,Company_386,Focus_Industry_2,Management
18 Nov 2024,10001+,"Concord, North Carolina, United States",Person_042,Company_161,Industry_15,Procurement/Supply Chain
